Августа
Илюса
Илюся
Иляна
Ина
Инара
Инга
Индира
Инеса
Инесса
Инзиля
Инна
Иннеса
Иннесса
Инэсса
Иоанна
Иоланта
Ира
Ирада
Ираида
Ирена
Ирина
Ирма
Ирода
Ирэн
Ирэна
Искра
Июлия
Ия
Кавсарат
Кадрия
Калерия
Калимат
Камета
Камила
Камилла
Камиля
Капиталина
Капитолина
Карима
Карина
Карине
Каринэ
Карлыгаш
Каролина
Катарина
Катерина
Катя
Каусария
Кафия
Кетеван
Кима
Кира
Кистаман
Клавдия
Клара
Кнарик
Крестина
Кристина
Кристине
Ксения
Ксенья
Кумсият
Лаpиса
Лада
Лайла
Лайло
Лайсан
Лала
Лали
Лалита
Ламара
Лана
Ландыш
Лара
Ларина
Лариса
Лаура
Лейла
Лейли
Лейля
Лейсан
Лейсян
Лела
Леля
Лена
Ленара
Ление
Лениза
Ленина
Ленура
Леокадия
Леонида
Леонора
Лера
Леся
Лиа
Лиана
Лианна
Лида
Лидия
Лиза
Лика
Лили
Лилиан
Лилиана
Лилианна
Лилия
Лиля
Лима
Лина
Линара
Линда
Линиза
Лионелла
Лира
Лирия
Лия
Лола
Лолита
Лора
Лорета
Луиза
Лукерья
Лусик
Лусине
Лусинэ
Лутфия
Лучия
Лэйла
Люаза
Люба
Любава
Любовь
Люда
Людмила
Люза
Люзия
Люсена
Люсия
Люсьена
Люся
Люцина
Люция
Ляйля
Ляйсан
Ляйсян
Ляля
Ляна
Маpина
Мавжуда
Мавлида
Мавлуда
Мавлюда
Магда
Магдалина
Магинур
Магира
Мадина
Мадинат
Мадлена
Мадона
Маина
Маиса
Майа
Майра
Майсара
Майсарат
Майя
Мака
Маквала
Макка
Малахат
Малена
Малика
Маликат
Малкан
Мальвина
Манана
Манефа
Манзура
Мансура
Манушак
Маня
Марал
Маргарит
Маргарита
Марем
Марет
Марета
Маржан
Маржанат
Марзия
Марзият
Мариам
Мариана
Марианна
Мариет
Мариетта
Марика
Марина
Марине
Маринэ
Марита
Мариэтта
Мария
Мариям
Марият
Марта
Мартина
Маруся
Марфа
Марфуга
Марха
Мархаба
Марьям
Марьяна
Марьят
Марям
Мастура
Матрена
Матрёна
Маулида
Махбуба
Махира
Мая
Медея
Медина
Мелания
Меланья
Меланя
Мелине
Мениря
Мери
Мерьем
Меседо
Меседу
Мехрибан
Мзия
Мила
Милада
Милана
Милауша
Милена
Милеуша
Милитина
Миля
Милявша
Миляуша
Минара
Минзаля
Минзиля
Минзифа
Минигуль
Минира
Миннигуль
Минслу
Минсылу
Мира
Мирослава
Моника
Мотрена
Муза
Муминат
Мунавара
Мунира
Муршида
Муслима
Муслимат
Мухаббат
Муъминат
Мэри
Мээрим
Hадежда
Hаталья
Нагима
Надежда
Надира
Надия
Надя
Нажия
Назгул
Назгуль
Назели
Назиба
Назик
Назила
Назиля
Назима
Назира
Назиря
Назифа
Назия
Наида
Наила
Наиля
Наина
Наира
Найля
Накия
Нана
Нани
Нанули
Написат
Нара
Наргиза
Наргис
Нарина
Нарине
Наринэ
Нармин
Нармина
Насиба
Насима
Настасья
Ната
Натаван
Натали
Наталия
Наталья
Наташа
Натела
Нателла
Натия
Нато
Натэла
Натэлла
Нафиса
Нафисет
Нафися
Нафсет
Нвард
Нейля
Нели
Нелла
Нелли
Нелля
Неля
Неонила
Нигар
Нигора
Нигяр
Ника
Николь
Нилуфар
Нина
Нино
Нинэль
Нионила
Нияра
Нодира
Нона
Нонна
Нора
Нуне
Нунэ
Нурания
Нургул
Нургуль
Нуржамал
Нурзат
Нурзида
Нурзия
Нуриет
Нурия
Нурият
Нурсиля
Нэлла
Нэлли
Нэлля
Нэля
Нюргустана
Нюргуяна
Озода
Оксана
Октябрина
Олга
Олена
Олесия
Олеся
Олимпиада
Олия
Ольга
Оля
Офелия
Офеля
Оюмаа
Оюна
Павла
Павлина
Палина
Парасковья
Парвана
Парвина
Патима
Патимат
Патина
Пелагея
Пелогея
Петимат
Полина
Прасковья
Просковья
Пятимат
Рабига
Рабия
Рабият
Равза
Равзанат
Равида
Равиля
Равия
Рада
Раджана
Радима
Радимхан
Радина
Радмила
Разалия
Разет
Разида
Разиет
Разиля
Разима
Разина
Разифа
Разия
Разият
Раида
Раиза
Раиля
Раиса
Раисат
Раисия
Раися
Райганат
Райля
Райса
Райсат
Райся
Райфа
Райхана
Ракия
Раксана
Ралина
Ралия
Рамзиля
Рамзия
Рамила
Рамиля
Рамина
Рамиса
Рамия
Рания
Рано
Расиля
Расима
Расимя
Рауза
Раузалия
Рауфа
Раушания
Рафига
Рафида
Рафика
Рафиля
Рафина
Рафиса
Рафия
Рахат
Рахиль
Рахиля
Рахима
Рашида
Рашидат
Рашидя
Раъно
Рая
Регина
Резеда
Резида
Рена
Рената
Рене
Рива
Ригина
Рида
Ризида
Рима
Римма
Рина
Рината
Рипсиме
Рисалат
Рита
Ритта
Родика
Роза
Розалина
Розалия
Розия
Роксана
Рома
Рубина
Ружена
Руза
Рузалия
Рузана
Рузанна
Рузиля
Рузия
Рукият
Румиса
Румия
Русалина
Руслана
Русудан
Руфина
Руфия
Рушана
Рушания
Рямзия
Ряшидя
Саадат
Сабина
Сабира
Сабият
Сабрина
Савия
Сагида
Саглар
Саглара
Садагат
Садия
Сажида
Сазида
Саида
Саидат
Саимат
Сайгибат
Сайда
Сайлык
Сайма
Сайёра
Сакина
Сакинат
Саламат
Салима
Салимат
Салиха
Салихат
Салия
Салтанат
Самига
Самира
Сандра
Сания
Саният
Санья
Саодат
Сапият
Сара
Саргылана
Сардаана
Сардана
Сария
Сарра
Сатеник
Сауле
Сафия
Сафура
Сахаяна
Сацита
Саша
Саяна
Света
Светлана
Севара
Севда
Севиль
Севиля
Севинч
Седа
Серафима
Серине
Сидрат
Сильва
Сильвия
Сима
Сирануш
Сирвард
Сирена
Сирина
Ситора
Сиядат
Слава
Славяна
Снежана
Снежанна
Соелма
Солмаз
Сона
Соник
Сония
Соня
Софико
София
Софья
Сталина
Станислава
Стелла
Степанида
Стефания
Стэлла
Сузанна
Сулико
Сурия
Сусан
Сусана
Сусанна
Суфия
Сэсэг
Сэсэгма
Сюзана
Сюзанна
Тагзима
Тагуи
Таибат
Таира
Таиса
Таисия
Таисья
Талина
Талия
Тамар
Тамара
Тамила
Тамилла
Танзила
Танзиля
Тансылу
Таня
Тарана
Таскира
Таскиря
Таслима
Татаьяна
Татевик
Татиана
Татьна
Татьяна
Тахира
Тахмина
Тая
Теа
Теона
Тереза
Тереса
Тина
Тинатин
Тоита
Томара
Туйаара
Туйара
Тумиша
Туяна
Туяра
Узлипат
Ульвия
Ульяна
Умида
Умият
Умукусум
Умут
Уран
Урана
Устинья
Фавзия
Фагиля
Фагима
Фаиля
Фаима
Фаина
Файля
Файруза
Факия
Фанзиля
Фанзия
Фаниля
Фаниса
Фания
Фануза
Фардана
Фарзана
Фарзона
Фарида
Фаридя
Фариза
Фаризат
Фатима
Фатимат
Фатиме
Фатимет
Фатма
Фатыма
Фаузия
Фаягуль
Февронья
Федора
Федосия
Федосья
Фекла
Феня
Феодора
Феодосия
Фериде
Феруза
Фидалия
Фидания
Физалия
Филюза
Фина
Фира
Фирая
Фирдания
Фирдауса
Фируза
Фирюза
Фларида
Флера
Флида
Флора
Флорида
Флюза
Флюра
Фотима
Фрида
Фяридя
Хава
Хавва
Хадижа
Хадича
Хадишат
Хаишат
Хайшат
Халида
Халидя
Халима
Халимат
Халимя
Халиса
Халисат
Халися
Хамдия
Хамида
Ханда
Хани
Ханифа
Хания
Ханна
Ханум
Хатима
Хатимат
Хатира
Хатуна
Хафиза
Хаяла
Хеда
Хеди
Хидая
Христина
Хяди
Цаган
Циала
Цовинар
Цындыма
Цыцыгма
Цыцык
Чакар
Чейнеш
Чечек
Чечена
Чинара
Чинчи
Чодураа
Чойган
Чойгана
Чойганмаа
Чолпон
Чынара
Шамиля
Шамсия
Шамсият
Шарифа
Шахла
Шахло
Шахноза
Шахрузат
Шенне
Шогик
Шоира
Шолпан
Шончалай
Шорена
Шура
Шушан
Шушаник
Эвелина
Эдие
Эдита
Эка
Элен
Элена
Элеонора
Эли
Элиза
Элизабет
Элина
Элионора
Элисо
Элита
Элла
Эллада
Эллеонора
Элли
Эллина
Эллона
Элмира
Элона
Эльвера
Эльвина
Эльвира
Эльза
Эльзара
Эльмаз
Эльмира
Эльнара
Эльнура
Эльфия
Эмилия
Эмина
Эмине
Эмма
Энгельсина
Эндже
Энже
Энзе
Эра
Эржена
Эрика
Эрикназ
Эрмине
Эрна
Эсет
Эсмира
Эсфирь
Этери
Юлиана
Юлианна
Юлия
Юля
Юна
Юнна
Юнона
Юстина
Ядвига
Язиля
Ямиля
Яна
Янина
Янна
Ярослава
Ясмина
Яха
Яхита
